,date,pm25
214,2019-10-07,10.0
215,2019-10-08,14.0
216,2019-10-09,23.0
217,2019-10-10,21.0
218,2019-10-11,28.0
219,2019-10-12,21.0
220,2019-10-13,20.0
221,2019-10-14,17.0
222,2019-10-15,16.0
223,2019-10-16,19.0
224,2019-10-17,27.0
225,2019-10-18,22.0
226,2019-10-19,29.0
227,2019-10-20,27.0
228,2019-10-21,30.0
229,2019-10-22,21.0
230,2019-10-23,26.0
231,2019-10-24,23.0
232,2019-10-25,40.0
233,2019-10-26,57.0
234,2019-10-27,18.0
235,2019-10-28,16.0
236,2019-10-29,11.0
237,2019-10-30,11.0
238,2019-10-31,20.0
239,2019-11-01,21.0
240,2019-11-02,29.0
241,2019-11-03,57.0
242,2019-11-04,53.0
243,2019-11-05,16.0
244,2019-11-06,15.0
245,2019-11-07,18.0
246,2019-11-08,29.0
247,2019-11-09,33.0
248,2019-11-10,42.0
249,2019-11-11,12.0
250,2019-11-12,17.0
251,2019-11-13,36.0
252,2019-11-14,43.0
253,2019-11-15,29.0
254,2019-11-16,52.0
255,2019-11-17,50.0
256,2019-11-18,40.0
257,2019-11-19,47.0
258,2019-11-20,52.0
259,2019-11-21,25.0
260,2019-11-23,49.0
261,2019-11-25,51.0
262,2019-11-26,61.0
263,2019-11-27,53.0
264,2019-11-28,52.0
265,2019-11-29,44.0
266,2019-11-30,15.0
267,2019-12-01,15.0
268,2019-12-02,14.0
269,2019-12-03,12.0
270,2019-12-04,12.0
271,2019-12-05,17.0
272,2019-12-06,26.0
273,2019-12-07,15.0
274,2019-12-08,7.0
275,2019-12-09,13.0
276,2019-12-10,15.0
277,2019-12-11,15.0
278,2019-12-12,16.0
279,2019-12-13,38.0
280,2019-12-14,53.0
281,2019-12-15,29.0
282,2019-12-16,18.0
283,2019-12-17,17.0
284,2019-12-18,32.0
285,2019-12-19,14.0
286,2019-12-20,28.0
287,2019-12-21,52.0
288,2019-12-22,81.0
289,2019-12-23,37.0
290,2019-12-24,36.0
291,2019-12-25,46.0
292,2019-12-26,36.0
293,2019-12-27,17.0
294,2019-12-28,17.0
295,2019-12-29,18.0
296,2019-12-30,34.0
297,2019-07-02,23.0
298,2019-07-03,15.0
299,2019-07-04,12.0
300,2019-07-05,12.0
301,2019-07-06,9.0
302,2019-07-07,9.0
303,2019-07-08,17.0
304,2019-07-09,13.0
305,2019-07-10,19.0
306,2019-07-11,18.0
307,2019-07-12,22.0
308,2019-07-13,28.0
309,2019-07-14,28.0
310,2019-07-15,15.0
311,2019-07-16,23.0
312,2019-07-17,12.0
313,2019-07-18,19.0
314,2019-07-19,29.0
315,2019-07-20,26.0
316,2019-07-21,20.0
317,2019-07-22,21.0
318,2019-07-23,37.0
319,2019-07-24,18.0
320,2019-07-25,13.0
321,2019-07-26,16.0
322,2019-07-27,23.0
323,2019-07-28,36.0
324,2019-07-29,40.0
325,2019-07-30,30.0
326,2019-07-31,16.0
327,2019-08-01,13.0
328,2019-08-02,20.0
329,2019-08-03,26.0
330,2019-08-04,21.0
331,2019-08-05,17.0
332,2019-08-06,23.0
333,2019-08-07,37.0
334,2019-08-08,29.0
335,2019-08-09,36.0
336,2019-08-10,32.0
337,2019-08-11,33.0
338,2019-08-12,25.0
339,2019-08-13,24.0
340,2019-08-14,20.0
341,2019-08-15,17.0
342,2019-08-16,16.0
343,2019-08-17,30.0
344,2019-08-18,25.0
345,2019-08-19,29.0
346,2019-08-20,20.0
347,2019-08-21,22.0
348,2019-08-22,25.0
349,2019-08-23,21.0
350,2019-08-24,23.0
351,2019-08-25,32.0
352,2019-08-26,32.0
353,2019-08-27,34.0
354,2019-08-28,44.0
355,2019-08-29,46.0
356,2019-08-30,50.0
357,2019-08-31,40.0
358,2019-09-01,22.0
359,2019-09-02,39.0
360,2019-09-03,28.0
361,2019-09-04,14.0
362,2019-09-05,11.0
363,2019-09-06,16.0
364,2019-09-07,13.0
365,2019-09-08,11.0
366,2019-09-09,20.0
367,2019-09-10,18.0
368,2019-09-11,42.0
369,2019-09-12,39.0
370,2019-09-13,17.0
371,2019-09-14,12.0
372,2019-09-15,8.0
