Month,Avg AQI_17,Avg AQI_18,Avg AQI_19,Avg AQI_20
01,146.51000000000005,121.758064516129,121.32068965517239,146.51000000000005
02,130.8,118.86428571428571,125.41481481481482,130.8
03,120.94666666666666,100.21935483870968,122.22413793103446,120.94666666666666
04,127.05384615384614,124.25666666666667,121.09310344827587,127.05384615384614
05,107.8333333333333,107.00000000000001,84.76451612903222,107.8333333333333
06,89.0633333333333,108.36071428571425,141.43333333333334,89.0633333333333
07,97.53478260869564,131.73333333333332,130.85416666666666,97.53478260869564
