Month,Avg AQI_15,Avg AQI_16,Avg AQI_17,Avg AQI_18,Avg AQI_19,Avg AQI_20
1,169.0,132.0,108.0,152.0,129.0,142.0
2,140.0,142.0,99.0,140.0,96.0,144.0
3,104.0,99.0,108.0,89.0,80.0,82.0
4,103.0,90.0,81.0,94.0,92.0,84.0
5,101.0,83.0,99.0,88.0,81.0,81.0
6,105.0,82.0,86.0,99.0,101.0,88.0
7,103.0,92.0,111.0,125.0,97.0,95.0
