Year,Month,AQI
2015,1,98.0
2015,2,108.0
2015,3,114.0
2015,4,116.0
2015,5,112.0
2015,6,118.0
2015,7,131.0
2016,1,93.0
2016,2,96.0
2016,3,112.0
2016,4,106.0
2016,5,101.0
2016,6,101.0
2016,7,115.0
2017,1,101.0
2017,2,132.0
2017,5,147.0
2018,1,94.0
2018,2,96.0
2018,3,103.0
2018,4,100.0
2018,5,97.0
2018,6,109.0
2020,1,108.0
2020,2,96.0
2020,3,94.0
2020,4,107.0
2020,5,93.0
2020,6,96.0
2020,7,106.0
