,date,pm25,AQI,Levels of Concern
1069,2017-01-03,197.0,247.1,Very Unhealthy
1070,2017-01-04,230.0,279.8,Very Unhealthy
1071,2017-01-05,273.0,323.3,Hazardous
1072,2017-01-06,107.0,177.6,Unhealthy
1073,2017-01-07,76.0,161.6,Unhealthy
1074,2017-01-08,108.0,178.1,Unhealthy
1075,2017-01-09,155.0,205.5,Very Unhealthy
1076,2017-01-10,186.0,236.2,Very Unhealthy
1077,2017-01-11,173.0,223.3,Very Unhealthy
1078,2017-01-12,186.0,236.2,Very Unhealthy
1079,2017-01-13,180.0,230.2,Very Unhealthy
1080,2017-01-14,181.0,231.2,Very Unhealthy
1081,2017-01-15,163.0,213.4,Very Unhealthy
1082,2017-01-16,138.0,193.6,Unhealthy
1083,2017-01-17,198.0,248.1,Very Unhealthy
1084,2017-01-18,161.0,211.4,Very Unhealthy
1085,2017-01-19,174.0,224.3,Very Unhealthy
1086,2017-01-20,187.0,237.2,Very Unhealthy
1087,2017-01-21,154.0,204.5,Very Unhealthy
1088,2017-01-22,160.0,210.4,Very Unhealthy
1089,2017-01-23,205.0,255.0,Very Unhealthy
1090,2017-01-24,183.0,233.2,Very Unhealthy
1091,2017-01-25,165.0,215.4,Very Unhealthy
1092,2017-01-26,170.0,220.3,Very Unhealthy
1093,2017-01-27,167.0,217.4,Very Unhealthy
1094,2017-01-28,207.0,257.0,Very Unhealthy
1095,2017-01-29,222.0,271.9,Very Unhealthy
1096,2017-01-30,193.0,243.1,Very Unhealthy
1097,2017-01-31,188.0,238.2,Very Unhealthy
1098,2017-02-01,163.0,213.4,Very Unhealthy
1099,2017-02-02,157.0,207.4,Very Unhealthy
1100,2017-02-03,160.0,210.4,Very Unhealthy
1101,2017-02-04,160.0,210.4,Very Unhealthy
1102,2017-02-05,148.0,198.7,Unhealthy
1103,2017-02-06,161.0,211.4,Very Unhealthy
1104,2017-02-07,174.0,224.3,Very Unhealthy
1105,2017-02-08,149.0,199.2,Unhealthy
1106,2017-02-09,132.0,190.5,Unhealthy
1107,2017-02-10,173.0,223.3,Very Unhealthy
1108,2017-02-11,161.0,211.4,Very Unhealthy
1109,2017-02-12,157.0,207.4,Very Unhealthy
1110,2017-02-13,176.0,226.3,Very Unhealthy
1111,2017-02-14,171.0,221.3,Very Unhealthy
1112,2017-02-15,155.0,205.5,Very Unhealthy
1113,2017-02-16,176.0,226.3,Very Unhealthy
1114,2017-02-17,174.0,224.3,Very Unhealthy
1115,2017-02-18,262.0,312.4,Hazardous
1116,2017-02-19,185.0,235.2,Very Unhealthy
1117,2017-02-20,208.0,258.0,Very Unhealthy
1118,2017-02-21,197.0,247.1,Very Unhealthy
1119,2017-02-22,100.0,174.0,Unhealthy
1120,2017-02-23,156.0,206.5,Very Unhealthy
1121,2017-02-24,162.0,212.4,Very Unhealthy
1122,2017-02-25,158.0,208.4,Very Unhealthy
1123,2017-02-26,162.0,212.4,Very Unhealthy
1124,2017-02-27,164.0,214.4,Very Unhealthy
1125,2017-02-28,168.0,218.3,Very Unhealthy
1126,2017-03-01,168.0,218.3,Very Unhealthy
1127,2017-03-02,140.0,194.6,Unhealthy
1128,2017-03-03,112.0,180.1,Unhealthy
1129,2017-03-04,146.0,197.7,Unhealthy
1130,2017-03-05,167.0,217.4,Very Unhealthy
1131,2017-03-06,158.0,208.4,Very Unhealthy
1132,2017-03-07,297.0,347.1,Hazardous
1133,2017-03-08,237.0,286.7,Very Unhealthy
1134,2017-03-09,173.0,223.3,Very Unhealthy
1135,2017-03-10,176.0,226.3,Very Unhealthy
1136,2017-03-11,156.0,206.5,Very Unhealthy
1137,2017-03-12,173.0,223.3,Very Unhealthy
1138,2017-03-13,161.0,211.4,Very Unhealthy
1139,2017-03-14,110.0,179.1,Unhealthy
1140,2017-03-15,121.0,184.8,Unhealthy
1141,2017-03-16,259.0,309.4,Hazardous
