,date,pm25,AQI,Levels of Concern
478,2019-01-02,131.0,189.9,Unhealthy
479,2019-01-03,158.0,208.4,Very Unhealthy
480,2019-01-04,165.0,215.4,Very Unhealthy
481,2019-01-05,182.0,232.2,Very Unhealthy
482,2019-01-06,224.0,273.8,Very Unhealthy
483,2019-01-07,248.0,297.6,Very Unhealthy
484,2019-01-08,190.0,240.1,Very Unhealthy
485,2019-01-09,172.0,222.3,Very Unhealthy
486,2019-01-10,120.0,184.3,Unhealthy
487,2019-01-11,116.0,182.2,Unhealthy
488,2019-01-12,163.0,213.4,Very Unhealthy
489,2019-01-13,188.0,238.2,Very Unhealthy
490,2019-01-14,190.0,240.1,Very Unhealthy
491,2019-01-15,174.0,224.3,Very Unhealthy
492,2019-01-16,199.0,249.1,Very Unhealthy
493,2019-01-17,121.0,184.8,Unhealthy
494,2019-01-18,187.0,237.2,Very Unhealthy
495,2019-01-19,194.0,244.1,Very Unhealthy
496,2019-01-20,179.0,229.2,Very Unhealthy
497,2019-01-21,216.0,265.9,Very Unhealthy
498,2019-01-22,219.0,268.9,Very Unhealthy
499,2019-01-23,188.0,238.2,Very Unhealthy
500,2019-01-24,191.0,241.1,Very Unhealthy
501,2019-01-25,174.0,224.3,Very Unhealthy
502,2019-01-26,204.0,254.0,Very Unhealthy
503,2019-01-27,221.0,270.9,Very Unhealthy
504,2019-01-28,167.0,217.4,Very Unhealthy
505,2019-01-29,205.0,255.0,Very Unhealthy
506,2019-01-30,177.0,227.3,Very Unhealthy
507,2019-01-31,142.0,195.6,Unhealthy
508,2019-02-01,134.0,191.5,Unhealthy
509,2019-02-02,169.0,219.3,Very Unhealthy
510,2019-02-03,156.0,206.5,Very Unhealthy
511,2019-02-04,165.0,215.4,Very Unhealthy
512,2019-02-05,189.0,239.2,Very Unhealthy
513,2019-02-06,193.0,243.1,Very Unhealthy
514,2019-02-07,165.0,215.4,Very Unhealthy
515,2019-02-08,189.0,239.2,Very Unhealthy
516,2019-02-09,78.0,162.6,Unhealthy
517,2019-02-10,117.0,182.7,Unhealthy
518,2019-02-11,153.0,203.5,Very Unhealthy
519,2019-02-12,165.0,215.4,Very Unhealthy
520,2019-02-13,131.0,189.9,Unhealthy
521,2019-02-14,149.0,199.2,Unhealthy
522,2019-02-15,110.0,179.1,Unhealthy
523,2019-02-16,137.0,193.0,Unhealthy
524,2019-02-17,158.0,208.4,Very Unhealthy
525,2019-02-18,165.0,215.4,Very Unhealthy
526,2019-02-19,139.0,194.1,Unhealthy
527,2019-02-20,160.0,210.4,Very Unhealthy
528,2019-02-21,168.0,218.3,Very Unhealthy
529,2019-02-22,173.0,223.3,Very Unhealthy
530,2019-02-23,140.0,194.6,Unhealthy
531,2019-02-24,142.0,195.6,Unhealthy
532,2019-02-26,180.0,230.2,Very Unhealthy
533,2019-02-27,195.0,245.1,Very Unhealthy
534,2019-02-28,126.0,187.4,Unhealthy
535,2019-03-01,122.0,185.3,Unhealthy
536,2019-03-02,101.0,174.5,Unhealthy
537,2019-03-03,148.0,198.7,Unhealthy
538,2019-03-04,157.0,207.4,Very Unhealthy
539,2019-03-05,156.0,206.5,Very Unhealthy
540,2019-03-06,131.0,189.9,Unhealthy
541,2019-03-07,133.0,191.0,Unhealthy
542,2019-03-08,124.0,186.3,Unhealthy
543,2019-03-09,153.0,203.5,Very Unhealthy
544,2019-03-10,169.0,219.3,Very Unhealthy
545,2019-03-11,171.0,221.3,Very Unhealthy
546,2019-03-12,123.0,185.8,Unhealthy
547,2019-03-13,142.0,195.6,Unhealthy
548,2019-03-14,185.0,235.2,Very Unhealthy
549,2019-03-15,149.0,199.2,Unhealthy
550,2019-03-16,148.0,198.7,Unhealthy
551,2019-03-17,151.0,201.5,Very Unhealthy
552,2019-03-18,156.0,206.5,Very Unhealthy
553,2019-03-19,155.0,205.5,Very Unhealthy
554,2019-03-20,152.0,202.5,Very Unhealthy
555,2019-03-21,129.0,188.9,Unhealthy
556,2019-03-22,134.0,191.5,Unhealthy
557,2019-03-23,99.0,173.4,Unhealthy
558,2019-03-24,125.0,186.8,Unhealthy
559,2019-03-25,160.0,210.4,Very Unhealthy
560,2019-03-26,118.0,183.2,Unhealthy
561,2019-03-27,158.0,208.4,Very Unhealthy
562,2019-03-28,152.0,202.5,Very Unhealthy
563,2019-03-29,167.0,217.4,Very Unhealthy
564,2019-03-30,165.0,215.4,Very Unhealthy
565,2019-03-31,166.0,216.4,Very Unhealthy
566,2019-04-01,136.0,192.5,Unhealthy
388,2019-04-02,142.0,195.6,Unhealthy
389,2019-04-03,133.0,191.0,Unhealthy
390,2019-04-04,114.0,181.2,Unhealthy
391,2019-04-05,154.0,204.5,Very Unhealthy
392,2019-04-06,122.0,185.3,Unhealthy
393,2019-04-07,133.0,191.0,Unhealthy
394,2019-04-08,148.0,198.7,Unhealthy
395,2019-04-09,137.0,193.0,Unhealthy
396,2019-04-10,94.0,170.9,Unhealthy
397,2019-04-11,96.0,171.9,Unhealthy
398,2019-04-12,130.0,189.4,Unhealthy
399,2019-04-13,109.0,178.6,Unhealthy
400,2019-04-14,129.0,188.9,Unhealthy
401,2019-04-15,121.0,184.8,Unhealthy
402,2019-04-16,122.0,185.3,Unhealthy
403,2019-04-17,114.0,181.2,Unhealthy
404,2019-04-18,117.0,182.7,Unhealthy
405,2019-04-19,126.0,187.4,Unhealthy
406,2019-04-20,137.0,193.0,Unhealthy
407,2019-04-21,149.0,199.2,Unhealthy
408,2019-04-22,133.0,191.0,Unhealthy
409,2019-04-23,161.0,211.4,Very Unhealthy
410,2019-04-24,136.0,192.5,Unhealthy
411,2019-04-25,159.0,209.4,Very Unhealthy
412,2019-04-26,147.0,198.2,Unhealthy
413,2019-04-27,103.0,175.5,Unhealthy
414,2019-04-28,113.0,180.7,Unhealthy
415,2019-04-29,100.0,174.0,Unhealthy
416,2019-04-30,65.0,155.9,Unhealthy
417,2019-05-01,133.0,191.0,Unhealthy
418,2019-05-02,123.0,185.8,Unhealthy
419,2019-05-03,115.0,181.7,Unhealthy
420,2019-05-04,138.0,193.6,Unhealthy
421,2019-05-05,145.0,197.2,Unhealthy
422,2019-05-06,128.0,188.4,Unhealthy
423,2019-05-07,111.0,179.6,Unhealthy
424,2019-05-08,93.0,170.3,Unhealthy
425,2019-05-09,105.0,176.5,Unhealthy
426,2019-05-10,129.0,188.9,Unhealthy
427,2019-05-11,140.0,194.6,Unhealthy
428,2019-05-12,150.0,199.7,Unhealthy
429,2019-05-13,162.0,212.4,Very Unhealthy
430,2019-05-14,160.0,210.4,Very Unhealthy
431,2019-05-15,161.0,211.4,Very Unhealthy
432,2019-05-16,114.0,181.2,Unhealthy
433,2019-05-17,141.0,195.1,Unhealthy
434,2019-05-18,142.0,195.6,Unhealthy
435,2019-05-19,138.0,193.6,Unhealthy
436,2019-05-20,97.0,172.4,Unhealthy
437,2019-05-21,101.0,174.5,Unhealthy
438,2019-05-22,143.0,196.1,Unhealthy
439,2019-05-23,154.0,204.5,Very Unhealthy
440,2019-05-24,149.0,199.2,Unhealthy
441,2019-05-25,148.0,198.7,Unhealthy
442,2019-05-26,113.0,180.7,Unhealthy
443,2019-05-27,64.0,155.4,Unhealthy
444,2019-05-28,97.0,172.4,Unhealthy
445,2019-05-29,89.0,168.3,Unhealthy
446,2019-05-30,100.0,174.0,Unhealthy
447,2019-05-31,108.0,178.1,Unhealthy
448,2019-06-01,144.0,196.6,Unhealthy
449,2019-06-02,139.0,194.1,Unhealthy
450,2019-06-03,116.0,182.2,Unhealthy
451,2019-06-04,121.0,184.8,Unhealthy
452,2019-06-05,131.0,189.9,Unhealthy
453,2019-06-06,134.0,191.5,Unhealthy
454,2019-06-07,64.0,155.4,Unhealthy
455,2019-06-08,97.0,172.4,Unhealthy
456,2019-06-09,121.0,184.8,Unhealthy
457,2019-06-10,134.0,191.5,Unhealthy
458,2019-06-11,133.0,191.0,Unhealthy
459,2019-06-12,106.0,177.0,Unhealthy
460,2019-06-13,104.0,176.0,Unhealthy
461,2019-06-14,124.0,186.3,Unhealthy
462,2019-06-15,128.0,188.4,Unhealthy
463,2019-06-16,125.0,186.8,Unhealthy
464,2019-06-17,108.0,178.1,Unhealthy
465,2019-06-18,86.0,166.7,Unhealthy
466,2019-06-19,76.0,161.6,Unhealthy
467,2019-06-20,89.0,168.3,Unhealthy
468,2019-06-21,87.0,167.2,Unhealthy
469,2019-06-22,57.0,151.8,Unhealthy
470,2019-06-23,65.0,155.9,Unhealthy
471,2019-06-25,115.0,181.7,Unhealthy
472,2019-06-26,128.0,188.4,Unhealthy
473,2019-06-27,147.0,198.2,Unhealthy
474,2019-06-28,148.0,198.7,Unhealthy
475,2019-06-29,127.0,187.9,Unhealthy
476,2019-06-30,68.0,157.4,Unhealthy
477,2019-07-01,78.0,162.6,Unhealthy
296,2019-07-02,91.0,169.3,Unhealthy
297,2019-07-03,127.0,187.9,Unhealthy
298,2019-07-04,131.0,189.9,Unhealthy
299,2019-07-05,121.0,184.8,Unhealthy
300,2019-07-06,138.0,193.6,Unhealthy
301,2019-07-07,97.0,172.4,Unhealthy
302,2019-07-08,107.0,177.6,Unhealthy
303,2019-07-09,106.0,177.0,Unhealthy
304,2019-07-10,85.0,166.2,Unhealthy
305,2019-07-11,93.0,170.3,Unhealthy
306,2019-07-12,114.0,181.2,Unhealthy
307,2019-07-13,107.0,177.6,Unhealthy
308,2019-07-14,74.0,160.5,Unhealthy
309,2019-07-15,110.0,179.1,Unhealthy
310,2019-07-16,98.0,172.9,Unhealthy
311,2019-07-17,89.0,168.3,Unhealthy
312,2019-07-18,109.0,178.6,Unhealthy
313,2019-07-19,87.0,167.2,Unhealthy
314,2019-07-20,89.0,168.3,Unhealthy
315,2019-07-21,91.0,169.3,Unhealthy
316,2019-07-22,126.0,187.4,Unhealthy
317,2019-07-23,114.0,181.2,Unhealthy
318,2019-07-24,79.0,163.1,Unhealthy
