Month,Avg AQI_17,Avg AQI_18,Avg AQI_19,Avg AQI_20
01,228.43103448275855,231.72,232.1733333333333,203.72333333333333
02,218.2357142857143,210.5357142857143,208.06666666666666,187.77586206896547
03,215.29677419354843,198.24838709677417,200.27419354838702,184.50967741935477
04,195.2466666666667,203.30666666666667,187.8233333333333,180.29999999999998
05,198.56129032258067,185.45483870967738,187.7838709677419,183.4935483870968
06,186.56428571428566,181.16896551724133,179.67586206896547,165.75000000000003
07,159.8952380952381,172.14583333333334,175.26250000000002,157.3708333333333
