Month,Avg AQI_15,Avg AQI_16,Avg AQI_17,Avg AQI_18,Avg AQI_19,Avg AQI_20
1,98.0,93.0,101.0,94.0,,108.0
2,108.0,96.0,132.0,96.0,,96.0
3,114.0,112.0,,103.0,,94.0
4,116.0,106.0,,100.0,,107.0
5,112.0,101.0,147.0,97.0,,93.0
6,118.0,101.0,,109.0,,96.0
7,131.0,115.0,,,,106.0
