date, pm25, pm10, no2
2020/2/27, 15, 8, 13
2020/2/28, 16, 23, 23
2020/2/29, 19, 9, 15
2020/3/1, 23, 7, 5
2020/1/2, 17, 15, 9
2020/1/3, 38, 14, 9
2020/1/4, 20, 14, 6
2020/1/5, 13, 18, 10
2020/1/6, 14, 5, 14
2020/1/7, 12, 9, 12
2020/1/8, 22, 15, 10
2020/1/9, 22, 17, 26
2020/1/10, 33, 17, 28
2020/1/11, 40, 13, 12
2020/1/12, 28, 4, 9
2020/1/13, 10, 9, 23
2020/1/14, 21, 10, 8
2020/1/15, 29, 7, 10
2020/1/16, 14, 19, 14
2020/1/17, 25, 16, 10
2020/1/18, 42, 19, 8
2020/1/19, 47, 14, 13
2020/1/20, 12, 14, 15
2020/1/21, 16, 18, 19
2020/1/22, 17, 32, 14
2020/1/23, 18, 35, 27
2020/1/24, 24, 5, 24
2020/1/25, 12, 25, 17
2020/1/26, 21, 6, 11
2020/1/27, 13, 15, 14
2020/1/28, 39, 12, 7
2020/1/29, 39, 6, 10
2020/1/30, 20, 8, 20
2020/1/31, 24, 6, 15
2020/2/1, 17, 4, 8
2019/10/2, 13, 6, 17
2019/10/3, 10, 4, 11
2019/10/4, 10, 6, 18
2019/10/5, 13, 5, 13
2019/10/6, 11, 5, 13
2019/10/7, 10, 11, 21
2019/10/8, 14, 14, 29
2019/10/9, 23, 10, 26
2019/10/10, 21, 11, 22
2019/10/11, 28, 9, 16
2019/10/12, 21, 9, 12
2019/10/13, 20, 9, 15
2019/10/14, 17, 7, 17
2019/10/15, 16, 7, 17
2019/10/16, 19, 10, 16
2019/10/17, 27, 8, 15
2019/10/18, 22, 11, 14
2019/10/19, 29, 10, 8
2019/10/20, 27, 11, 16
2019/10/21, 30, 8, 14
2019/10/22, 21, 11, 12
2019/10/23, 26, 13, 20
2019/10/24, 23, 17, 14
2019/10/25, 40, 23, 10
2019/10/26, 57, 8, 15
2019/10/27, 18, 5, 13
2019/10/28, 16, 7, 17
2019/10/29, 11, 10, 16
2019/10/30, 11, 18, 26
2019/10/31, 20, 23, 23
2019/11/1, 21, 17, 26
2019/11/2, 29, 23, 18
2019/11/3, 57, 20, 12
2019/11/4, 53, 16, 19
2019/11/5, 16, 14, 14
2019/11/6, 15, 18, 20
2019/11/7, 18, 16, 25
2019/11/8, 29, 13, 18
2019/11/9, 33, 14, 12
2019/11/10, 42, 4, 8
2019/11/11, 12, 6, 13
2019/11/12, 17, 11, 9
2019/11/13, 36, 14, 25
2019/11/14, 43, 9, 18
2019/11/15, 29, 21, 23
2019/11/16, 52, 20, 10
2019/11/17, 50, 15, 9
2019/11/18, 40, 19, 14
2019/11/19, 47, 19, 8
2019/11/20, 52, 9, 10
2019/11/21, 25, , 
2019/11/23, 49, , 
2019/11/25, 51, 32, 17
2019/11/26, 61, 23, 14
2019/11/27, 53, 20, 14
2019/11/28, 52, 14, 12
2019/11/29, 44, 6, 18
2019/11/30, 15, 18, 15
2019/12/1, 15, 9, 19
2019/12/2, 14, 17, 27
2019/12/3, 12, 5, 25
2019/12/4, 12, 6, 22
2019/12/5, 17, 13, 14
2019/12/6, 26, 6, 18
2019/12/7, 15, 3, 11
2019/12/8, 7, 4, 9
2019/12/9, 13, 8, 16
2019/12/10, 15, 6, 25
2019/12/11, 15, 7, 12
2019/12/12, 16, 15, 13
2019/12/13, 38, 18, 12
2019/12/14, 53, 9, 4
2019/12/15, 29, 6, 12
2019/12/16, 18, 6, 21
2019/12/17, 17, 13, 25
2019/12/18, 32, 6, 18
2019/12/19, 14, 11, 25
2019/12/20, 28, 20, 8
2019/12/21, 52, 36, 7
2019/12/22, 81, 12, 19
2019/12/23, 37, 25, 31
2019/12/24, 36, 24, 25
2019/12/25, 46, 13, 14
2019/12/26, 36, 6, 10
2019/12/27, 17, 8, 10
2019/12/28, 17, 7, 17
2019/12/29, 18, 11, 8
2019/12/30, 34, , 
2019/7/2, 23, 13, 14
2019/7/3, 15, 12, 17
2019/7/4, 12, 18, 22
2019/7/5, 12, 8, 11
2019/7/6, 9, 5, 11
2019/7/7, 9, 7, 9
2019/7/8, 17, 7, 10
2019/7/9, 13, 9, 9
2019/7/10, 19, 10, 13
2019/7/11, 18, 12, 12
2019/7/12, 22, 13, 18
2019/7/13, 28, 12, 15
2019/7/14, 28, 9, 16
2019/7/15, 15, 11, 20
2019/7/16, 23, 9, 15
2019/7/17, 12, 10, 21
2019/7/18, 19, 23, 21
2019/7/19, 29, 21, 23
2019/7/20, 26, 11, 9
2019/7/21, 20, 10, 9
2019/7/22, 21, 15, 17
2019/7/23, 37, 11, 16
2019/7/24, 18, 9, 16
2019/7/25, 13, 13, 18
2019/7/26, 16, 14, 19
2019/7/27, 23, 16, 18
2019/7/28, 36, 18, 16
2019/7/29, 40, 18, 16
2019/7/30, 30, 9, 9
2019/7/31, 16, 8, 14
2019/8/1, 13, 12, 10
2019/8/2, 20, 20, 16
2019/8/3, 26, 12, 10
2019/8/4, 21, 8, 13
2019/8/5, 17, 12, 16
2019/8/6, 23, 19, 22
2019/8/7, 37, 16, 18
2019/8/8, 29, 27, 23
2019/8/9, 36, 15, 24
2019/8/10, 32, 12, 9
2019/8/11, 33, 10, 9
2019/8/12, 25, 13, 15
2019/8/13, 24, 12, 15
2019/8/14, 20, 12, 19
2019/8/15, 17, 10, 20
2019/8/16, 16, 12, 11
2019/8/17, 30, 11, 7
2019/8/18, 25, 11, 8
2019/8/19, 29, 10, 20
