Month,Avg AQI_15,Avg AQI_16,Avg AQI_17,Avg AQI_18,Avg AQI_19,Avg AQI_20
1,147.0,141.0,132.0,137.0,128.0,126.0
2,149.0,128.0,129.0,124.0,112.0,116.0
3,130.0,112.0,112.0,93.0,102.0,86.0
4,101.0,106.0,95.0,97.0,84.0,74.0
5,124.0,109.0,81.0,104.0,78.0,68.0
6,99.0,109.0,101.0,96.0,94.0,89.0
7,131.0,111.0,108.0,105.0,122.0,99.0
