Month,Avg AQI_15,Avg AQI_16,Avg AQI_17,Avg AQI_18,Avg AQI_19,Avg AQI_20
1,140.0,137.0,112.0,141.0,115.0,134.0
2,147.0,118.0,110.0,128.0,94.0,125.0
3,125.0,131.0,126.0,119.0,107.0,92.0
4,145.0,123.0,115.0,143.0,125.0,107.0
5,143.0,125.0,136.0,134.0,117.0,124.0
6,155.0,150.0,149.0,151.0,140.0,113.0
7,146.0,143.0,152.0,144.0,151.0,138.0
