Month,Avg AQI_15,Avg AQI_16,Avg AQI_17,Avg AQI_18,Avg AQI_19,Avg AQI_20
1,291.0,374.0,275.0,331.0,293.0,267.0
2,250.0,260.0,229.0,239.0,257.0,239.0
3,205.0,206.0,200.0,206.0,200.0,187.0
4,193.0,206.0,205.0,202.0,202.0,176.0
5,201.0,209.0,209.0,203.0,218.0,186.0
6,189.0,188.0,184.0,204.0,193.0,180.0
7,162.0,176.0,166.0,177.0,182.0,169.0
