month,2017 Mean AQI,2017 SEM,2018 Mean AQI,2018 SEM,2019 Mean AQI,2019 SEM,2020 Mean AQI,2020 SEM
Jan,176,1,166,4,162,2,149,4
Feb,167,2,161,4,155,2,144,5
March,170,2,165,2,160,1,161,2
April,167,1,163,1,168,1,162,1
May,172,2,157,3,172,3,162,2
June,152,3,141,5,140,4,149,2
July,150,5,153,4,153,2,141,3
