date, pm25, pm10, o3, no2, so2, co
6/27/2014,117, ,13,38, ,21
6/28/2014,133, ,15,41, ,29
6/29/2014,126, ,19,31, ,25
6/30/2014,97, ,13,17, ,15
7/1/2014,38, ,13,16, ,7
7/2/2014, , ,14,29, ,13
7/3/2014, , ,8,51, ,24
7/4/2014,126, ,14,46, ,22
7/5/2014,139, ,18,47, ,27
7/6/2014,123, ,12,36, ,23
7/7/2014,69, , ,15, ,7
7/8/2014,96, ,1,30, ,13
7/9/2014,34, ,6,7, ,4
7/10/2014,33, ,12,5, ,4
7/11/2014,28, ,5,14, ,6
7/12/2014,42, ,9,10, ,5
7/13/2014,35, ,11,5, ,4
7/14/2014,46, ,18,4, ,5
7/15/2014,53, ,14,13, ,5
7/16/2014,66, ,16,18, ,6
7/17/2014,81, ,11,32, ,10
7/18/2014,117, ,13,32, ,18
7/19/2014,71, ,10,23, ,10
7/20/2014,31, ,20,9, ,4
7/21/2014,48,30,22,3, ,3
7/22/2014,60,42,14,18, ,5
7/23/2014,82,43,14,29, ,7
7/24/2014,74,33,15,28, ,7
7/25/2014,62,20,8,19, ,6
7/26/2014,40,24,7,16, ,6
7/27/2014,61,5,3,19, ,6
7/28/2014,18,9,10,8, ,3
7/29/2014,27,13,13,13, ,3
7/30/2014,28,23,15,11, ,4
7/31/2014,50,36,17,21, ,5
8/1/2014,81,52,15,38, ,9
8/2/2014,110,39,17,39, ,19
8/3/2014,90,41,25,31, ,11
8/4/2014,90,54,27,27, ,15
8/5/2014,113,19,20,32, ,16
8/6/2014,44,31,19,13, ,3
8/7/2014,50,48,20,23, ,6
8/8/2014,94,25,19,36, ,14
8/9/2014,68,12,11,24, ,11
8/10/2014,29,23,10,15, ,4
8/11/2014,44,54,29,19, ,8
8/12/2014,108,74,23,36, ,21
8/13/2014,137,30,21,45, ,23
8/14/2014,92,13,10,25, ,12
8/15/2014,20,21,16,14, ,3
8/16/2014,41,22,13,18, ,4
8/17/2014,52,17,9,18, ,5
8/18/2014,46,27,14,18, ,6
8/19/2014,61,34,14,28, ,8
