date, pm25, pm10, o3, no2, so2, co
2020/3/17, 65, 37, 41, 34, 4, 13
2020/3/18, 73, , , , , 
2020/3/28, 70, 52, 71, 22, 3, 10
2020/3/29, 89, 62, 89, 20, 8, 8
2020/3/30, 92, 59, 80, , 13, 10
2020/3/31, 94, 57, 46, , 7, 9
2020/4/1, 70, 50, 73, , 4, 9
2020/2/2, 72, 43, 36, 31, 25, 
2020/2/3, 79, 32, 26, 16, 10, 
2020/2/4, 39, 21, 11, 19, 3, 
2020/2/5, 28, , , , , 
2020/2/9, 67, 33, 58, , 4, 12
2020/2/10, 57, 43, 53, , 5, 13
2020/2/11, 63, 53, 63, , 6, 13
2020/2/12, 80, 40, 33, , 4, 11
2020/2/13, 59, 43, 4, , 5, 15
2020/2/14, 76, , , , , 
2020/2/18, 54, 48, 53, 44, 11, 11
2020/2/19, 66, 57, 59, 45, 14, 11
2020/2/20, 79, 57, 40, 32, 16, 8
2020/2/21, 84, 29, 55, 21, 5, 9
2020/2/22, 44, 15, 84, 28, 16, 8
2020/2/23, 36, 53, 87, 34, 6, 10
2020/2/24, 79, 49, 55, 30, 4, 10
2020/2/25, 64, 36, 34, 25, 4, 9
2020/2/26, 44, 48, 55, 30, 9, 9
2020/2/27, 63, 48, 48, 29, 15, 8
2020/2/28, 71, 47, 61, 33, 18, 10
2020/2/29, 65, 46, 60, 36, 17, 9
2020/3/1, 70, 51, 74, 35, 6, 10
2020/1/2, 50, 25, 18, 11, 2, 6
2020/1/3, 28, 27, 33, 26, 2, 9
2020/1/4, 33, 57, 40, 36, 13, 11
2020/1/5, 100, 41, 50, 38, 23, 10
2020/1/6, 74, 60, 61, 55, 32, 16
2020/1/7, 104, 54, 35, 37, 17, 13
2020/1/8, 71, 52, 49, 39, 15, 12
2020/1/9, 81, 60, 56, 48, 11, 16
2020/1/10, 90, 52, 39, 32, 4, 14
2020/1/11, 70, 49, 57, 37, 7, 13
2020/1/12, 75, 47, 47, 30, 23, 11
2020/1/13, 80, 49, 54, 34, 18, 13
2020/1/14, 75, 49, 47, 30, 9, 13
2020/1/15, 67, 52, 51, 29, 22, 11
2020/1/16, 75, 57, 48, 24, 15, 9
2020/1/17, 89, 38, 12, 24, 10, 9
2020/1/18, 55, , , , , 
2020/1/21, 48, 37, 33, 30, 11, 12
2020/1/22, 70, 47, 62, 35, 12, 15
2020/1/23, 92, 42, 22, 32, 7, 13
2020/1/24, 67, 33, 30, 26, 7, 9
2020/1/25, 54, 39, 34, 21, 4, 10
2020/1/26, 60, 35, 33, 25, 7, 14
2020/1/27, 54, 35, 25, 27, 9, 12
2020/1/28, 52, 33, 42, 31, 3, 12
2020/1/29, 46, 41, 39, 28, 14, 
2020/1/30, 48, 33, 24, 24, 3, 
2020/1/31, 42, 27, 35, 25, 2, 
2020/2/1, 35, 46, 34, 30, 24, 
2019/10/2, 42, 23, 38, 25, 2, 8
2019/10/3, 48, 28, 37, 25, 2, 8
2019/10/4, 53, 26, 56, 25, 1, 8
2019/10/5, 48, 30, 46, 21, 6, 7
