month,2017 Mean AQI,2018 Mean AQI,2019 Mean AQI,2020 Mean AQI
Jan,176,166,162,149
Feb,167,161,155,144
March,170,165,160,161
April,167,163,168,162
May,172,157,172,162
June,152,141,140,149
July,150,153,153,141
