Year,Month,AQI
2016,1,209.0
2016,2,182.0
2016,3,177.0
2016,4,164.0
2016,5,163.0
2016,6,161.0
2016,7,167.0
2017,1,209.0
2017,2,197.0
2017,3,191.0
2017,4,177.0
2017,5,164.0
2017,6,153.0
2017,7,150.0
2018,1,205.0
2018,2,213.0
2018,3,192.0
2018,4,173.0
2019,1,200.0
2019,2,191.0
2019,3,168.0
2019,4,157.0
2019,5,145.0
2019,6,135.0
2019,7,140.0
2020,1,184.0
2020,2,183.0
2020,3,160.0
2020,4,154.0
2020,5,176.0
2020,6,111.0
2020,7,94.0
