date, pm25, pm10, o3, no2, so2, co
2020/2/3, 23, , 29, 5, 1, 3
2020/2/4, 14, , 28, 10, 1, 4
2020/2/5, 19, , 21, 19, 2, 6
2020/2/6, 36, , 21, 19, 3, 5
2020/2/7, 44, , 24, 15, 2, 5
2020/2/8, 45, , 25, 7, , 4
2020/2/9, 36, , 29, 4, , 3
2020/2/10, 18, , 27, 14, , 5
2020/2/11, 24, , 27, 20, , 6
2020/2/12, 29, , 23, 20, , 7
2020/2/13, 53, , 30, 4, , 4
2020/2/14, 33, , 28, 9, , 4
2020/2/15, 31, , 26, 8, , 5
2020/2/16, 39, , 30, 5, , 4
2020/2/17, 28, , 24, 13, , 5
2020/2/18, 36, , 28, 17, , 5
2020/2/19, 35, , 23, 13, , 5
2020/2/20, 39, , 32, 21, , 7
2020/2/21, 51, , 30, 19, , 6
2020/2/22, 49, , 31, 7, , 5
2020/2/23, 51, , 31, 4, , 4
2020/2/24, 28, , 24, 14, 1, 6
2020/2/25, 36, , 25, 22, 1, 7
2020/2/26, 45, , 36, 20, 2, 7
2020/2/27, 50, , 28, 25, 2, 8
2020/2/28, 56, , 27, 19, 2, 7
2020/2/29, 54, , 34, 2, , 4
2020/3/1, 34, , 31, 6, , 4
2020/1/2, 39, , 14, 20, 1, 5
2020/1/3, 34, , 13, 22, 1, 6
2020/1/4, 58, , 25, 10, 1, 3
2020/1/5, 28, , 27, 10, 1, 2
2020/1/6, 23, , 16, 20, 1, 4
2020/1/7, 29, , 29, 14, 1, 3
2020/1/8, 32, , 29, 11, 1, 3
2020/1/9, 21, , 28, 10, , 3
2020/1/10, 20, , 26, 13, 1, 4
2020/1/11, 32, , 30, 8, , 2
2020/1/12, 23, , 29, 9, 1, 3
2020/1/13, 23, , 30, 10, 1, 3
2020/1/14, 15, , 30, 8, , 3
2020/1/15, 26, , 26, 14, 1, 4
2020/1/16, 26, , 30, 9, , 3
2020/1/17, 19, , 22, 18, 1, 4
2020/1/18, 30, , 21, 11, , 3
2020/1/19, 21, , 19, 12, , 4
2020/1/20, 29, , 15, 14, 1, 4
2020/1/21, 45, , 25, 9, , 3
2020/1/22, 15, , 22, 17, 1, 4
2020/1/23, 29, , 13, 19, 1, 5
2020/1/24, 41, , 21, 13, 1, 5
2020/1/25, 32, , 23, 7, , 4
2020/1/26, 32, , 31, 4, , 3
2020/1/27, 21, , 28, 10, 1, 3
2020/1/28, 33, , 27, 9, , 3
2020/1/29, 31, , 20, 14, 1, 4
2020/1/30, 45, , 18, 13, 1, 3
2020/1/31, 33, , 13, 19, 2, 5
2020/2/1, 50, , 22, 14, 1, 4
2019/10/2, 17, , 19, 12, 2, 3
2019/10/3, 28, , 24, 6, 1, 2
2019/10/4, 27, , 24, 11, 1, 3
2019/10/5, 25, , 23, 14, 2, 4
2019/10/6, 27, , 31, 16, 1, 4
2019/10/7, 34, , 31, 22, 2, 5
2019/10/8, 41, , 22, 13, , 4
2019/10/9, 44, , 28, 13, 1, 3
2019/10/10, 43, , 29, 15, 1, 3
2019/10/11, 25, , 33, 25, 1, 5
2019/10/12, 35, , 43, 20, 2, 4
2019/10/13, 45, , 30, 7, , 3
2019/10/14, 25, 43, 28, 9, 1, 3
2019/10/15, 40, 32, 26, 11, 1, 3
2019/10/16, 46, 22, 26, 9, 3, 3
2019/10/17, 16, 16, 27, 7, , 3
2019/10/18, 25, 17, 25, 15, 1, 4
2019/10/19, 40, 20, 27, 9, , 3
2019/10/20, 40, 22, 25, 11, 1, 4
2019/10/21, 34, , 20, 20, 1, 5
2019/10/22, 41, , 25, 23, 2, 7
2019/10/23, 45, , 22, 22, 2, 7
2019/10/24, 46, , 24, 23, 1, 5
2019/10/25, 31, , 32, 28, 1, 7
2019/10/26, 61, , 22, 12, , 5
2019/10/27, 62, , 27, 6, , 3
2019/10/28, 30, , 35, 12, 1, 4
2019/10/29, 54, , 26, 15, 1, 5
2019/10/30, 45, , 28, 19, 1, 4
